x,y
-0.5376499325919588,2.4415021093547846
-0.5444184048941466,2.4262139985999016
-0.5504943857182532,2.4106344928104044
-0.5566193008337516,2.3950741674386276
-0.5628018904751784,2.3795366741396573
-0.5690521033643973,2.3640262619153036
-0.5753828588544015,2.3485485478750454
-0.5818171508369754,2.3331136058688577
-0.5883606727457786,2.3177246976066557
-0.5950295794534686,2.3023897521900376
-0.6018416150237054,2.2871178776925025
-0.6088161118017904,2.271919507083197
-0.6159822518986149,2.2568105588223264
-0.6233757484934438,2.2418116440904634
-0.6310040887196297,2.2269309909590866
-0.638892140598739,2.2121865230553928
-0.6470653509136256,2.197598270743988
-0.6555492827850713,2.18318843310695
-0.6643845288224781,2.1689912622014647
-0.6736103597093474,2.155044993330023
-0.6832210107103497,2.1413616415002017
-0.6932343297085206,2.1279705723818196
-0.7036641629808797,2.1149015135209224
-0.7145195295990907,2.1021836449100233
-0.725803923227742,2.089844505620997
-0.7375148218940447,2.0779087641834635
-0.7496536700308338,2.0664080631546513
-0.762204480819572,2.0553584998765357
-0.7751298220282663,2.044749888570569
-0.7884043840458235,2.0345817788821883
-0.8019998302312819,2.0248467335034572
-0.8158860169109504,2.0155306828825497
-0.8300321874619144,2.0066136840402993
-0.8444119973153208,1.9980778771778416
-0.8590069517955005,1.9899155973249032
-0.8737738936810733,1.9820695894272615
-0.8886859971145649,1.9745035411618423
-0.9037190381827009,1.9671806686705557
-0.9188513645296634,1.960064770269252
-0.9340636893909307,1.9531209231679796
-0.9493387696370756,1.9463157667629951
-0.9646661412058049,1.9396291674025266
-0.9800168850587596,1.9329964577903191
-0.9953739462729647,1.9263783315569603
-1.0107224871570866,1.919740541638355
-1.0260470246411393,1.9130476178540268
-1.0413236502945407,1.906245879924707
-1.0565187262739584,1.8992641000934216
-1.0716161974451324,1.8920746823621208
-1.0865873496057628,1.8846270196325057
-1.1013966689260823,1.8768635789361714
-1.1159996371899692,1.8687191371042524
-1.1303400796020764,1.8601207801537163
-1.1443471450188953,1.8509890036779495
-1.1579321613444393,1.8412403033362308
-1.170985852851138,1.8307916480786448
-1.1833767239466284,1.8195671159532845
